pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
1635	Sommige ingrediënten worden door een persoon in een kom gemengd	Een vrouw is twee eieren naar een breakdanser aan het bowlen	NEUTRAL	1.6	A_neutral_B	B_neutral_A	Some ingredients are being mixed in a bowl by a person	A woman is bowling two eggs to a break dancer 	SEMEVAL	SEMEVAL	TRAIN
1636	Een vrouw breekt twee eieren in een kom	Een man mengt een paar ingrediënten in een kom	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A woman is breaking two eggs in a bowl	A man is mixing a few ingredients in a bowl	SEMEVAL	SEMEVAL	TEST
1637	Een vrouw breekt twee eieren in een kom	Sommige ingrediënten worden gescheiden in een kom door een persoon	NEUTRAL	3.45	A_neutral_B	B_neutral_A	A woman is breaking two eggs in a bowl	Some ingredients are being separated in a bowl by a person	SEMEVAL	SEMEVAL	TEST
1638	Iemand is de ingrediënten aan het bowlen naar de man bij de mixer	Een vrouw breekt twee eieren in een kom	NEUTRAL	2.1	A_neutral_B	B_neutral_A	A person is bowling the ingredients to the man at the mixer	A woman is breaking two eggs in a bowl	SEMEVAL	SEMEVAL	TEST
1639	Een vrouw breekt twee eieren in een kom	Sommige ingrediënten worden door een persoon in een kom gemengd	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A woman is breaking two eggs in a bowl	Some ingredients are being mixed in a bowl by a person	SEMEVAL	SEMEVAL	TRAIN
1640	Het meisje springt roekeloos op een auto	Het meisje springt roekeloos op een voertuig	ENTAILMENT	4.6	A_entails_B	B_neutral_A	The girl is recklessly jumping onto a car	The girl is recklessly jumping onto a vehicle	SEMEVAL	SEMEVAL	TRAIN
1641	Het meisje springt roekeloos op een auto	Het meisje springt niet roekeloos op de auto	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	The girl is recklessly jumping onto a car	The girl isn't jumping onto the car recklessly	SEMEVAL	SEMEVAL	TRAIN
1642	Een auto is risicovol over een meisje aan het springen	Het meisje springt roekeloos op een auto	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A car is riskily jumping over a girl	The girl is recklessly jumping onto a car	SEMEVAL	SEMEVAL	TEST
1643	Een jonge dame springt op de auto	Eèn meisje springt op de auto	ENTAILMENT	4.9	A_entails_B	B_entails_A	One young lady is jumping on the car	One girl is jumping on the car	SEMEVAL	SEMEVAL	TRAIN
1644	Er is geen meisje dat in de auto springt	Eèn meisje springt op de auto	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	There is no girl jumping into the car	One girl is jumping on the car	SEMEVAL	SEMEVAL	TEST
1645	Een meisje zit in een springende auto	Eèn meisje springt op de auto	ENTAILMENT	3.2	A_entails_B	B_neutral_A	A girl is on a jumping car	One girl is jumping on the car	SEMEVAL	SEMEVAL	TEST
1646	Het meisje springt roekeloos op een auto	Een jonge dame springt op de auto	ENTAILMENT	4.4	A_entails_B	B_entails_A	The girl is recklessly jumping onto a car	One young lady is jumping on the car	SEMEVAL	SEMEVAL	TRAIN
1647	Het meisje springt roekeloos op een auto	Er is geen meisje dat in de auto springt	NEUTRAL	3.6	A_contradicts_B	B_neutral_A	The girl is recklessly jumping onto a car	There is no girl jumping into the car	SEMEVAL	SEMEVAL	TRAIN
1648	Een meisje zit in een springende auto	Het meisje springt roekeloos op een auto	NEUTRAL	4	A_neutral_B	B_neutral_A	A girl is on a jumping car	The girl is recklessly jumping onto a car	SEMEVAL	SEMEVAL	TRAIN
1649	Het meisje springt roekeloos op een voertuig	Eèn meisje springt op de auto	NEUTRAL	4.2	A_neutral_B	B_neutral_A	The girl is recklessly jumping onto a vehicle	One girl is jumping on the car	SEMEVAL	SEMEVAL	TRAIN
1650	Het meisje springt niet roekeloos op de auto	Eèn meisje springt op de auto	NEUTRAL	3.3	A_neutral_B	B_neutral_A	The girl isn't jumping onto the car recklessly	One girl is jumping on the car	SEMEVAL	SEMEVAL	TRAIN
1651	Een auto is risicovol over een meisje aan het springen	Eèn meisje springt op de auto	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A car is riskily jumping over a girl	One girl is jumping on the car	SEMEVAL	SEMEVAL	TRAIN
1652	Het meisje springt roekeloos op een auto	Eèn meisje springt op de auto	ENTAILMENT	4.4	A_entails_B	B_neutral_A	The girl is recklessly jumping onto a car	One girl is jumping on the car	SEMEVAL	SEMEVAL	TRAIN
1653	Een vrouw is langzaam een aardappel aan het schillen	Een vrouw is een aardappel aan het schillen	ENTAILMENT	4.7	A_entails_B	B_neutral_A	One woman is slowly peeling a potato	One woman is peeling a potato	SEMEVAL	SEMEVAL	TRAIN
1654	Een vrouw is een aardappel aan het schillen	Er is geen vrouw die een aardappel schilt	CONTRADICTION	3.2	A_contradicts_B	B_contradicts_A	One woman is peeling a potato	There is no woman peeling a potato	SEMEVAL	SEMEVAL	TEST
1655	Een vrouw gooit een aardappelschil	Een vrouw is een aardappel aan het schillen	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A woman is throwing a potato peel	One woman is peeling a potato	SEMEVAL	SEMEVAL	TRAIN
1656	Een vrouw is de aardappel aan het schillen	De aardappel wordt geschild door een vrouw	ENTAILMENT	4.9	A_entails_B	B_entails_A	A woman is peeling the potato	The potato is being peeled by a woman	SEMEVAL	SEMEVAL	TEST
1657	De aardappel wordt geschild door een vrouw	De aardappel wordt niet geschild door een vrouw	CONTRADICTION	3.2	A_contradicts_B	B_contradicts_A	The potato is being peeled by a woman	The potato isn't being peeled by a woman	SEMEVAL	SEMEVAL	TRAIN
1658	Een vrouw is de aardappel aan het schillen	Een vrouw is een aardappel aan het schillen	ENTAILMENT	4.9	A_entails_B	B_entails_A	A woman is peeling the potato	One woman is peeling a potato	SEMEVAL	SEMEVAL	TEST
1659	Een vrouw is een aardappel aan het schillen	De aardappel wordt niet geschild door een vrouw	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	One woman is peeling a potato	The potato isn't being peeled by a woman	SEMEVAL	SEMEVAL	TRAIN
1660	Een vrouw is langzaam een aardappel aan het schillen	De aardappel wordt geschild door een vrouw	ENTAILMENT	4.5	A_entails_B	B_neutral_A	One woman is slowly peeling a potato	The potato is being peeled by a woman	SEMEVAL	SEMEVAL	TRAIN
1661	Er is geen vrouw die een aardappel schilt	De aardappel wordt geschild door een vrouw	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	There is no woman peeling a potato	The potato is being peeled by a woman	SEMEVAL	SEMEVAL	TRAIN
1662	De aardappel wordt geschild door een vrouw	Een vrouw gooit een aardappelschil	NEUTRAL	3.4	A_neutral_B	B_neutral_A	The potato is being peeled by a woman	A woman is throwing a potato peel	SEMEVAL	SEMEVAL	TEST
1663	De aardappel wordt geschild door een vrouw	Een vrouw is een aardappel aan het schillen	ENTAILMENT	4.8	A_entails_B	B_entails_A	The potato is being peeled by a woman	One woman is peeling a potato	SEMEVAL	SEMEVAL	TRAIN
1664	Een boot vaart stilletjes over het water	Een boot vaart vredig over het water	ENTAILMENT	4.8	A_entails_B	B_entails_A	A boat is sailing quietly over the water	A boat is sailing peacefully over the water	SEMEVAL	SEMEVAL	TEST
1665	Een boot vaart vredig over het water	Een boot ligt voor anker	NEUTRAL	3.3	A_contradicts_B	B_neutral_A	A boat is sailing peacefully over the water	A boat is anchored	SEMEVAL	SEMEVAL	TEST
1666	Het zeil van een boot wordt gereflecteerd door het vredige water	Een boot vaart vredig over het water	ENTAILMENT	3.5	A_entails_B	B_neutral_A	A boat's sail is being reflected by the peaceful water	A boat is sailing peacefully over the water	SEMEVAL	SEMEVAL	TEST
1667	De gitaar wordt bespeeld door de man	De gitaar wordt bespeeld door een man	ENTAILMENT	4.9	A_entails_B	B_entails_A	The guitar is being played by the man	The guitar is being played by a man	SEMEVAL	SEMEVAL	TEST
1668	De gitaar wordt bespeeld door de man	De gitaar wordt door niemand bespeeld	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	The guitar is being played by the man	The guitar is being played by nobody	SEMEVAL	SEMEVAL	TRAIN
1669	De gitaar wordt bespeeld door de man	De man is een gitarist	ENTAILMENT	4.8	A_entails_B	B_entails_A	The guitar is being played by the man	The man is a guitar player	SEMEVAL	SEMEVAL	TRAIN
1670	Een boot vaart vredig over het water	De gitaar wordt bespeeld door een man	NEUTRAL	1	A_neutral_B	B_neutral_A	A boat is sailing peacefully over the water	The guitar is being played by a man	SEMEVAL	SEMEVAL	TRAIN
1671	De gitaar wordt door niemand bespeeld	Een boot vaart vredig over het water	NEUTRAL	1	A_neutral_B	B_neutral_A	The guitar is being played by nobody	A boat is sailing peacefully over the water	SEMEVAL	SEMEVAL	TRAIN
1672	De man is een gitarist	Een boot vaart vredig over het water	NEUTRAL	1	A_neutral_B	B_neutral_A	The man is a guitar player	A boat is sailing peacefully over the water	SEMEVAL	SEMEVAL	TEST
1673	Een boot vaart stilletjes over het water	De gitaar wordt bespeeld door de man	NEUTRAL	1	A_neutral_B	B_neutral_A	A boat is sailing quietly over the water	The guitar is being played by the man	SEMEVAL	SEMEVAL	TRAIN
1674	Een boot ligt voor anker	De gitaar wordt bespeeld door de man	NEUTRAL	1	A_neutral_B	B_neutral_A	A boat is anchored	The guitar is being played by the man	SEMEVAL	SEMEVAL	TEST
1675	Het zeil van een boot wordt gereflecteerd door het vredige water	De gitaar wordt bespeeld door de man	NEUTRAL	1	A_neutral_B	B_neutral_A	A boat's sail is being reflected by the peaceful water	The guitar is being played by the man	SEMEVAL	SEMEVAL	TRAIN
1676	Een boot vaart vredig over het water	De gitaar wordt bespeeld door de man	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A boat is sailing peacefully over the water	The guitar is being played by the man	SEMEVAL	SEMEVAL	TRIAL
1677	De man giet olie op een paar tomaten	Een persoon giet olie op een paar tomaten	ENTAILMENT	4.6	A_entails_B	B_neutral_A	The man is pouring oil on a few tomatoes	One person pours oil on a few tomatoes	SEMEVAL	SEMEVAL	TRAIN
1678	Een man giet geen olie op de tomaten	De man giet olie op een paar tomaten	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	A man isn't pouring oil on the tomatoes.	The man is pouring oil on a few tomatoes	SEMEVAL	SEMEVAL	TEST
1679	De man giet olie op een paar tomaten	Weinig mannen houden van het gieten van tomatenolie	NEUTRAL	3.9	A_neutral_B	B_neutral_A	The man is pouring oil on a few tomatoes	Few men like pouring tomato oil	SEMEVAL	SEMEVAL	TEST
1680	Er wordt wat olie op de tomaten gegoten door de man	De man giet wat olie op de tomaten	ENTAILMENT	4.8	A_entails_B	B_entails_A	Some oil is being poured on the tomatoes by the man	The man is pouring some oil on the tomatoes	SEMEVAL	SEMEVAL	TRAIN
1681	Er is geen man die wat olie op de tomaten giet	De man giet wat olie op de tomaten	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	There is no man pouring some oil on the tomatoes	The man is pouring some oil on the tomatoes	SEMEVAL	SEMEVAL	TEST
1682	De man giet wat olie op de tomaten	Iemand giet tomatenolie over de man	NEUTRAL	2.4	A_neutral_B	B_neutral_A	The man is pouring some oil on the tomatoes	Somebody is pouring tomato oil on the man	SEMEVAL	SEMEVAL	TRAIN
1683	Er wordt wat olie op de tomaten gegoten door de man	De man giet olie op een paar tomaten	ENTAILMENT	4.9	A_entails_B	B_entails_A	Some oil is being poured on the tomatoes by the man	The man is pouring oil on a few tomatoes	SEMEVAL	SEMEVAL	TEST
1684	De man giet olie op een paar tomaten	Er is geen man die wat olie op de tomaten giet	CONTRADICTION	3.3	A_contradicts_B	B_contradicts_A	The man is pouring oil on a few tomatoes	There is no man pouring some oil on the tomatoes	SEMEVAL	SEMEVAL	TEST
1685	De man giet olie op een paar tomaten	Iemand giet tomatenolie over de man	NEUTRAL	3.1	A_neutral_B	B_neutral_A	The man is pouring oil on a few tomatoes	Somebody is pouring tomato oil on the man	SEMEVAL	SEMEVAL	TEST
1686	De man giet wat olie op de tomaten	Een persoon giet olie op een paar tomaten	ENTAILMENT	4.3	A_entails_B	B_neutral_A	The man is pouring some oil on the tomatoes	One person pours oil on a few tomatoes	SEMEVAL	SEMEVAL	TEST
1687	De man giet wat olie op de tomaten	Een man giet geen olie op de tomaten	CONTRADICTION	3	A_contradicts_B	B_contradicts_A	The man is pouring some oil on the tomatoes	A man isn't pouring oil on the tomatoes.	SEMEVAL	SEMEVAL	TRAIN
1688	Weinig mannen houden van het gieten van tomatenolie	De man giet wat olie op de tomaten	NEUTRAL	2.8	A_neutral_B	B_neutral_A	Few men like pouring tomato oil	The man is pouring some oil on the tomatoes	SEMEVAL	SEMEVAL	TEST
1689	De man giet olie op een paar tomaten	De man giet wat olie op de tomaten	ENTAILMENT	4.6	A_entails_B	B_neutral_A	The man is pouring oil on a few tomatoes	The man is pouring some oil on the tomatoes	SEMEVAL	SEMEVAL	TEST
1690	De melk wordt gedronken door een kat	De kat drinkt wat melk	ENTAILMENT	5	A_entails_B	B_entails_A	The milk is being drunk by a cat	The cat is drinking some milk	SEMEVAL	SEMEVAL	TRIAL
1691	Er wordt geen melk gedronken door een kat	De melk wordt gedronken door een kat	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	There is no milk being drunk by a cat	The milk is being drunk by a cat	SEMEVAL	SEMEVAL	TRAIN
1692	De melk wordt gedronken door een kat	Een dronken man melkt een kat	NEUTRAL	2.4	A_neutral_B	B_neutral_A	The milk is being drunk by a cat	A drunk man is milking a cat	SEMEVAL	SEMEVAL	TEST
1693	Een kitten drinkt verse melk	Een kleine kat drinkt verse melk	ENTAILMENT	4.465	A_entails_B	B_neutral_A	A kitten is drinking fresh milk	A little cat is drinking fresh milk	SEMEVAL	SEMEVAL	TEST
1694	Een kitten drinkt verse melk	Er is geen kitten die melk drinkt	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A kitten is drinking fresh milk	There is no kitten drinking milk	SEMEVAL	SEMEVAL	TRAIN
1695	Melk is een kittendrankje	Een kitten drinkt verse melk	NEUTRAL	4	A_neutral_B	B_neutral_A	Milk is a kitten's drink	A kitten is drinking fresh milk	SEMEVAL	SEMEVAL	TEST
1696	Een kleine kat drinkt verse melk	De melk wordt gedronken door een kat	ENTAILMENT	4.2	A_entails_B	B_neutral_A	A little cat is drinking fresh milk	The milk is being drunk by a cat	SEMEVAL	SEMEVAL	TEST
1697	Er is geen kitten die melk drinkt	De melk wordt gedronken door een kat	NEUTRAL	3.7	A_neutral_B	B_neutral_A	There is no kitten drinking milk	The milk is being drunk by a cat	SEMEVAL	SEMEVAL	TRAIN
1698	Melk is een kittendrankje	De melk wordt gedronken door een kat	NEUTRAL	3.9	A_neutral_B	B_neutral_A	Milk is a kitten's drink	The milk is being drunk by a cat	SEMEVAL	SEMEVAL	TEST
1699	Een kitten drinkt verse melk	De kat drinkt wat melk	NEUTRAL	4.2	A_neutral_B	B_neutral_A	A kitten is drinking fresh milk	The cat is drinking some milk	SEMEVAL	SEMEVAL	TEST
1700	Een kitten drinkt verse melk	Er wordt geen melk gedronken door een kat	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A kitten is drinking fresh milk	There is no milk being drunk by a cat	SEMEVAL	SEMEVAL	TRAIN
1701	Een kitten drinkt verse melk	Een dronken man melkt een kat	NEUTRAL	1.7	A_neutral_B	B_neutral_A	A kitten is drinking fresh milk	A drunk man is milking a cat	SEMEVAL	SEMEVAL	TEST
1702	Een kitten drinkt verse melk	De melk wordt gedronken door een kat	ENTAILMENT	4.2	A_entails_B	B_neutral_A	A kitten is drinking fresh milk	The milk is being drunk by a cat	SEMEVAL	SEMEVAL	TRAIN
1703	Een man is een container van plastic volledig aan het legen	Een man is een container van plastic aan het legen	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man is emptying a container made of plastic completely	A man is emptying a container made of plastic	SEMEVAL	SEMEVAL	TRIAL
1704	Een man is een container van plastic aan het legen	Een man vult een container van plastic	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	A man is emptying a container made of plastic	A man is filling a container made of plastic	SEMEVAL	SEMEVAL	TEST
1705	Een kikker wordt onzorgvuldig vastgehouden door een man	Een man houdt achteloos een kikker vast	ENTAILMENT	4.8	A_entails_B	B_entails_A	A frog is being held carelessly by a man	A man is carelessly holding a frog	SEMEVAL	SEMEVAL	TRAIN
1706	Een man houdt achteloos een kikker vast	Een man laat zorgeloos een kikker vallen	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A man is carelessly holding a frog	A man is carelessly dropping a frog	SEMEVAL	SEMEVAL	TRAIN
1707	Een man is een container van plastic aan het legen	Een kikker wordt onzorgvuldig vastgehouden door een man	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is emptying a container made of plastic	A frog is being held carelessly by a man	SEMEVAL	SEMEVAL	TRAIN
1708	Een man is een container van plastic aan het legen	Een man laat zorgeloos een kikker vallen	NEUTRAL	1.2	A_neutral_B	B_neutral_A	A man is emptying a container made of plastic	A man is carelessly dropping a frog	SEMEVAL	SEMEVAL	TRAIN
1709	Een man houdt achteloos een kikker vast	Een man is een container van plastic volledig aan het legen	NEUTRAL	1.4	A_neutral_B	B_neutral_A	A man is carelessly holding a frog	A man is emptying a container made of plastic completely	SEMEVAL	SEMEVAL	TEST
1710	Een man houdt achteloos een kikker vast	Een man vult een container van plastic	NEUTRAL	1.2	A_neutral_B	B_neutral_A	A man is carelessly holding a frog	A man is filling a container made of plastic	SEMEVAL	SEMEVAL	TEST
1711	Een man is een container van plastic aan het legen	Een man houdt achteloos een kikker vast	NEUTRAL	1.1	A_neutral_B	B_neutral_A	A man is emptying a container made of plastic	A man is carelessly holding a frog	SEMEVAL	SEMEVAL	TRIAL
1712	Een man is een ui in schijfjes aan het snijden	Een ui wordt in schijfjes gesneden door een man	ENTAILMENT	4.9	A_entails_B	B_entails_A	A man is slicing an onion	An onion is being sliced by a man	SEMEVAL	SEMEVAL	TRAIN
1713	Een man is een ui in schijfjes aan het snijden	Er is geen man die een ui in schijfjes snijdt	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	A man is slicing an onion	There is no man slicing an onion	SEMEVAL	SEMEVAL	TEST
1714	Een man eet schijfjes ui	Een man is een ui in schijfjes aan het snijden	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A man is eating onion slices	A man is slicing an onion	SEMEVAL	SEMEVAL	TRAIN
1715	Een ui wordt gesneden door een man	De ui wordt gesneden door de man	ENTAILMENT	4.9	A_entails_B	B_entails_A	An onion is being cut by a man	The onion is being cut by the man	SEMEVAL	SEMEVAL	TRAIN
1716	Geen enkele ui wordt door een man gesneden	Een ui wordt gesneden door een man	CONTRADICTION	3.1	A_contradicts_B	B_contradicts_A	No onion is being cut by a man	An onion is being cut by a man	SEMEVAL	SEMEVAL	TRAIN
1717	Een man is een ui in schijfjes aan het snijden	De ui wordt gesneden door de man	ENTAILMENT	5	A_entails_B	B_entails_A	A man is slicing an onion	The onion is being cut by the man	SEMEVAL	SEMEVAL	TEST
1718	Een man is een ui in schijfjes aan het snijden	Geen enkele ui wordt door een man gesneden	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A man is slicing an onion	No onion is being cut by a man	SEMEVAL	SEMEVAL	TEST
1719	Een ui wordt in schijfjes gesneden door een man	Een ui wordt gesneden door een man	ENTAILMENT	4.8	A_entails_B	B_entails_A	An onion is being sliced by a man	An onion is being cut by a man	SEMEVAL	SEMEVAL	TRAIN
1720	Er is geen man die een ui in schijfjes snijdt	Een ui wordt gesneden door een man	CONTRADICTION	2.6	A_contradicts_B	B_contradicts_A	There is no man slicing an onion	An onion is being cut by a man	SEMEVAL	SEMEVAL	TEST
1721	Een ui wordt gesneden door een man	Een man eet schijfjes ui	NEUTRAL	3.2	A_neutral_B	B_neutral_A	An onion is being cut by a man	A man is eating onion slices	SEMEVAL	SEMEVAL	TRAIN
1722	Een ui wordt gesneden door een man	Een man is een ui in schijfjes aan het snijden	ENTAILMENT	4.8	A_entails_B	B_entails_A	An onion is being cut by a man	A man is slicing an onion	SEMEVAL	SEMEVAL	TEST
1723	Een man rijdt roekeloos op een paard	Iemand rijdt roekeloos op een paard	ENTAILMENT	4.2	A_entails_B	B_neutral_A	A man is recklessly riding a horse	A person is recklessly riding a horse	SEMEVAL	SEMEVAL	TRAIN
1724	Een man rijdt roekeloos op een paard	Er is geen man die roekeloos op een paard rijdt	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A man is recklessly riding a horse	There is no man recklessly riding a horse	SEMEVAL	SEMEVAL	TRAIN
1725	De olifant wordt bereden door de vrouw	De vrouw rijdt op de olifant	ENTAILMENT	4.8	A_entails_B	B_entails_A	The elephant is being ridden by the woman	The woman is riding the elephant	SEMEVAL	SEMEVAL	TEST
1726	De olifant wordt bereden door de vrouw	De olifant wordt niet bereden door de vrouw	CONTRADICTION	2.9	A_contradicts_B	B_contradicts_A	The elephant is being ridden by the woman	The elephant isn't being ridden by the woman	SEMEVAL	SEMEVAL	TEST
1727	De olifant wordt bereden door de vrouw	De olifant wordt over een vrouw heen gereden	NEUTRAL	3.015	A_neutral_B	B_neutral_A	The elephant is being ridden by the woman	The elephant is being ridden over a woman	SEMEVAL	SEMEVAL	TEST
1728	De vrouw rijdt op de olifant	Een man rijdt roekeloos op een paard	NEUTRAL	1.8	A_neutral_B	B_neutral_A	The woman is riding the elephant	A man is recklessly riding a horse	SEMEVAL	SEMEVAL	TEST
1729	Een man rijdt roekeloos op een paard	De olifant wordt niet bereden door de vrouw	NEUTRAL	1.4	A_neutral_B	B_neutral_A	A man is recklessly riding a horse	The elephant isn't being ridden by the woman	SEMEVAL	SEMEVAL	TRAIN
1730	De olifant wordt over een vrouw heen gereden	Een man rijdt roekeloos op een paard	NEUTRAL	1.5	A_neutral_B	B_neutral_A	The elephant is being ridden over a woman	A man is recklessly riding a horse	SEMEVAL	SEMEVAL	TEST
1731	De olifant wordt bereden door de vrouw	Iemand rijdt roekeloos op een paard	NEUTRAL	1.8	A_neutral_B	B_neutral_A	The elephant is being ridden by the woman	A person is recklessly riding a horse	SEMEVAL	SEMEVAL	TEST
1732	De olifant wordt bereden door de vrouw	Er is geen man die roekeloos op een paard rijdt	NEUTRAL	1.8	A_neutral_B	B_neutral_A	The elephant is being ridden by the woman	There is no man recklessly riding a horse	SEMEVAL	SEMEVAL	TEST
1733	Een man rijdt roekeloos op een paard	De olifant wordt bereden door de vrouw	NEUTRAL	1	A_neutral_B	B_neutral_A	A man is recklessly riding a horse	The elephant is being ridden by the woman	SEMEVAL	SEMEVAL	TRAIN
1734	Iemand voert een dier	Iemand geeft eten aan een dier	ENTAILMENT	4.7	A_entails_B	B_entails_A	Someone is feeding an animal	Someone is giving food to an animal	SEMEVAL	SEMEVAL	TEST
1735	Iemand geeft eten aan een dier	Niemand voert een dier	CONTRADICTION	3.6	A_contradicts_B	B_contradicts_A	Someone is giving food to an animal	Nobody is feeding an animal	SEMEVAL	SEMEVAL	TEST
1736	Iemand speelt op de piano	De piano wordt bespeeld door iemand	ENTAILMENT	5	A_entails_B	B_entails_A	Somebody is playing the piano	The piano is being played by someone	SEMEVAL	SEMEVAL	TRAIN
1737	De piano wordt door niemand bespeeld	De piano wordt bespeeld door iemand	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	The piano isn't being played by anyone	The piano is being played by someone	SEMEVAL	SEMEVAL	TEST
1738	Iemand geeft eten aan een dier	Iemand speelt op de piano	NEUTRAL	1.3	A_neutral_B	B_neutral_A	Someone is giving food to an animal	Somebody is playing the piano	SEMEVAL	SEMEVAL	TEST
1739	Iemand geeft eten aan een dier	De piano wordt door niemand bespeeld	NEUTRAL	1	A_neutral_B	B_neutral_A	Someone is giving food to an animal	The piano isn't being played by anyone	SEMEVAL	SEMEVAL	TEST
1740	De piano wordt bespeeld door iemand	Iemand voert een dier	NEUTRAL	1	A_neutral_B	B_neutral_A	The piano is being played by someone	Someone is feeding an animal	SEMEVAL	SEMEVAL	TEST
1741	De piano wordt bespeeld door iemand	Niemand voert een dier	NEUTRAL	1	A_neutral_B	B_neutral_A	The piano is being played by someone	Nobody is feeding an animal	SEMEVAL	SEMEVAL	TRAIN
1742	De piano wordt bespeeld door iemand	Iemand geeft eten aan een dier	NEUTRAL	1	A_neutral_B	B_neutral_A	The piano is being played by someone	Someone is giving food to an animal	SEMEVAL	SEMEVAL	TEST
1743	Een man drukt op de knoppen van een magnetron	De knoppen van een magnetron worden door een man ingedrukt	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man is pushing the buttons of a microwave	The buttons of a microwave are being pushed by a man	SEMEVAL	SEMEVAL	TEST
1744	Een man drukt op de knoppen van een magnetron	Er is geen man die op de knoppen van een magnetron drukt	CONTRADICTION	3.1	A_contradicts_B	B_contradicts_A	A man is pushing the buttons of a microwave	There is no man is pushing the buttons of a microwave	SEMEVAL	SEMEVAL	TEST
1745	Een man drukt op de knoppen van een magnetron	Een man wordt naar de knoppen van een magnetron geduwd	NEUTRAL	2.8	A_neutral_B	B_neutral_A	A man is pushing the buttons of a microwave	A man is being pushed toward the buttons of a microwave	SEMEVAL	SEMEVAL	TEST
1746	Eén man zet de magnetron aan	Eén man voorziet de magnetron van stroom	ENTAILMENT	4.5	A_entails_B	B_entails_A	One man is turning on the microwave	One man is powering the microwave	SEMEVAL	SEMEVAL	TEST
1747	Eén man zet de magnetron aan	Eén man zet de magnetron uit	CONTRADICTION	4	A_contradicts_B	B_contradicts_A	One man is turning on the microwave	One man is turning off the microwave	SEMEVAL	SEMEVAL	TRAIN
1748	Een man drukt op de knoppen van een magnetron	Eén man voorziet de magnetron van stroom	NEUTRAL	4.1	A_neutral_B	B_neutral_A	A man is pushing the buttons of a microwave	One man is powering the microwave	SEMEVAL	SEMEVAL	TEST
1749	Een man drukt op de knoppen van een magnetron	Eén man zet de magnetron uit	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A man is pushing the buttons of a microwave	One man is turning off the microwave	SEMEVAL	SEMEVAL	TEST
1750	Eén man zet de magnetron aan	De knoppen van een magnetron worden door een man ingedrukt	ENTAILMENT	4.2	A_entails_B	B_neutral_A	One man is turning on the microwave	The buttons of a microwave are being pushed by a man	SEMEVAL	SEMEVAL	TEST
1751	Eén man zet de magnetron aan	Er is geen man die op de knoppen van een magnetron drukt	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	One man is turning on the microwave	There is no man is pushing the buttons of a microwave	SEMEVAL	SEMEVAL	TRAIN
1752	Een man wordt naar de knoppen van een magnetron geduwd	Eén man zet de magnetron aan	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A man is being pushed toward the buttons of a microwave	One man is turning on the microwave	SEMEVAL	SEMEVAL	TEST
1753	Eén man zet de magnetron aan	Een man drukt op de knoppen van een magnetron	ENTAILMENT	4.3	A_entails_B	B_neutral_A	One man is turning on the microwave	A man is pushing the buttons of a microwave	SEMEVAL	SEMEVAL	TRAIN
1754	Een fluit wordt op een mooie manier bespeeld door een meisje	Een fluit wordt bespeeld door een meisje	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A flute is being played in a lovely way by a girl	A flute is being played by a girl	SEMEVAL	SEMEVAL	TRIAL
1755	Een fluit wordt bespeeld door een meisje	Een fluit wordt door een meisje opgeborgen	CONTRADICTION	3.1	A_contradicts_B	B_contradicts_A	A flute is being played by a girl	A flute is being put away by a girl	SEMEVAL	SEMEVAL	TRAIN
1756	Een fluit wordt bespeeld door een meisje	Een meisje maakt een fluit die niet bespeeld mag worden	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	A flute is being played by a girl	A girl is making a flute which is not to be played	SEMEVAL	SEMEVAL	TRAIN
